"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","AT","Austria",0.691570900,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","BE","Belgium",1.737669590,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","BG","Bulgaria",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","CZ","Czech Republic",0.203080130,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","DE","Germany",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EE","Estonia",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EL","Greece",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","ES","Spain",0.601186260,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EU_EEA31","EU/EEA",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EU28","EU",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","FI","Finland",0.854751400,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","FR","France",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","HU","Hungary",0.049021390,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","IE","Ireland",1.658179000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","IT","Italy",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","LT","Lithuania",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","LU","Luxembourg",0.430210340,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","LV","Latvia",0.086278740,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","MT","Malta",0.701783990,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","NL","Netherlands",1.399961370,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","NO","Norway",0.689388830,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","PL","Poland",0.056744200,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","PT","Portugal",0.396503870,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","RO","Romania",0.062181760,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","SE","Sweden",1.026744690,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","SI","Slovenia",0.145783520,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","SK","Slovakia",0.033237410,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","UK","United Kingdom",2.230219490,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","AT","Austria",0.531361380,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","BE","Belgium",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","BG","Bulgaria",0.105446220,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","CY","Cyprus",0.124948410,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","CZ","Czech Republic",0.090997410,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","DE","Germany",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","EE","Estonia",0.292632290,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","EL","Greece",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","ES","Spain",0.741686200,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","EU_EEA31","EU/EEA",0.728323000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","EU28","EU",0.728398000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","FI","Finland",0.675051910,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","FR","France",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","HU","Hungary",0.077443390,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","IE","Ireland",1.820277800,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","IT","Italy",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","LT","Lithuania",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","LU","Luxembourg",0.594237140,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","LV","Latvia",0.287650470,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","MT","Malta",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","NL","Netherlands",1.450768270,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","NO","Norway",0.721760130,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","PL","Poland",0.055957290,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","PT","Portugal",0.411881420,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","RO","Romania",0.057451840,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","SE","Sweden",0.895576440,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","SI","Slovenia",0.350547390,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","SK","Slovakia",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2009","UK","United Kingdom",2.418718130,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","AT","Austria",0.575507720,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","BE","Belgium",1.533365840,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","BG","Bulgaria",0.064056040,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","CY","Cyprus",0.096458500,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","CZ","Czech Republic",0.099780720,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","DE","Germany",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","EE","Estonia",0.072076090,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","EL","Greece",0.413806690,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","ES","Spain",0.715132490,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","EU_EEA31","EU/EEA",0.835073000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","EU28","EU",0.835757000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","FI","Finland",0.667049270,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","FR","France",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","HU","Hungary",0.049578930,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","IE","Ireland",1.715529770,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","IT","Italy",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","LT","Lithuania",0.099638740,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","LU","Luxembourg",2.377165080,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","LV","Latvia",0.239085450,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","MT","Malta",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","NL","Netherlands",1.514292060,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","NO","Norway",0.774740530,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","PL","Poland",0.088598550,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","PT","Portugal",0.475587530,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","RO","Romania",0.092469510,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","SE","Sweden",1.286774290,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","SI","Slovenia",0.430693520,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","SK","Slovakia",0.035086720,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2010","UK","United Kingdom",2.852611730,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","AT","Austria",0.085617040,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","BE","Belgium",1.723827360,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","BG","Bulgaria",0.107161800,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","CY","Cyprus",0.667657300,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","CZ","Czech Republic",0.256092440,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","DE","Germany",0.724039640,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","DK","Denmark",1.387473890,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","EE","Estonia",0.079399400,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","EL","Greece",0.852095130,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","ES","Spain",0.838677410,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","EU_EEA31","EU/EEA",1.006951000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","EU28","EU",1.011354000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","FI","Finland",0.661300600,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","FR","France",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","HU","Hungary",0.097293340,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","IE","Ireland",1.313575720,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","IT","Italy",1.184470750,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","LT","Lithuania",0.101928160,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","LU","Luxembourg",0.629090780,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","LV","Latvia",0.200681010,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","MT","Malta",0.258503160,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","NL","Netherlands",1.547110890,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","NO","Norway",0.618861670,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","PL","Poland",0.035556480,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","PT","Portugal",0.631452650,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","RO","Romania",0.194434580,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","SE","Sweden",1.051029240,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","SI","Slovenia",0.288253100,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2011","SK","Slovakia",0.017357740,""
