HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,AT,Austria,0.43398604,,,,Aland,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,BE,Belgium,0.00989879,,,,Albania,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,CZ,Czech Republic,5.39727817,,,,Andorra,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,DE,Germany,0.22989136,,,,Armenia,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,EE,Estonia,13.50374281,,,,Austria,,Austria,_0.686086600
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,EL,Greece,0,,,,Azerbaijan,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,ES,Spain,0,,,,Belarus,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,EU_EEA31,EU/EEA,0.513267,,,,Belgium,,Belgium,1.69684329
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,EU28,EU,0.51787,,,,Bosnia and Herz.,,Croatia,0
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,FI,Finland,0.7095677,,,,Bulgaria,,Czech Republic,0.21269556
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,FR,France,0.00147888,,,,Croatia,,Estonia,0
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,HR,Croatia,-,,,,Cyprus,,EU,1.087237
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,HU,Hungary,0.41958732,,,,Czech Rep.,,EU/EEA,1.083299
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,IE,Ireland,0,,,,Denmark,,Finland,0.79238046
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,LT,Lithuania,11.48888569,,,,Estonia,,France,3.50898062
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,LV,Latvia,3.49006562,,,,Faeroe Is.,,Germany,0
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,NO,Norway,0.14146793,,,,Finland,,Greece,0.35259218
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,PL,Poland,0.30769421,,,,France,,Hungary,0.04977402
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,RO,Romania,0.01475437,,,,Georgia,,Iceland,0
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,SE,Sweden,3.03114332,,,,Germany,,Ireland,1.83948682
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,SI,Slovenia,7.71247762,,,,Greece,,Italy,0.9990985
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,SK,Slovakia,0.59227046,,,,Greenland,,Latvia,0.09124878
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2012,UK,United Kingdom,0.00495779,,,,Guernsey,,Lithuania,0.09338216
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,AT,Austria,1.15020151,,,,Hungary,,Luxembourg,0.41339481
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,BE,Belgium,0.00844323,,,,Iceland,,Malta,0.73559701
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,CZ,Czech Republic,5.92900244,,,,Ireland,,Netherlands,1.39588192
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,DE,Germany,0.49644502,,,,Isle of Man,,Norway,0.67550865
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,EE,Estonia,8.59340139,,,,Italy,,Poland,0.05771908
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,EL,Greece,0,,,,Jersey,,Portugal,0.3979783
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,ES,Spain,0,,,,Kazakhstan,,Romania,0.06299835
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,EU_EEA31,EU/EEA,0.607975,,,,Kosovo,,Slovakia,0.03720193
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,EU28,EU,0.613275,,,,Latvia,,Slovenia,0.14923375
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,FI,Finland,0.68559707,,,,Liechtenstein,,Spain,0.63500489
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,FR,France,0.00146285,,,,Lithuania,,Sweden,0.99096943
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,HR,Croatia,1.01171094,,,,Luxembourg,,United Kingdom,2.22667423
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,HU,Hungary,0.26841579,,,,Macedonia,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,IE,Ireland,0,,,,Moldova,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,IT,Italy,0,,,,Monaco,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,LT,Lithuania,16.02784593,,,,Montenegro,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,LV,Latvia,11.13299194,,,,N. Cyprus,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,NO,Norway,0.12200586,,,,Netherlands,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,PL,Poland,0.35093675,,,,Norway,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,RO,Romania,0.01510569,,,,Poland,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,SE,Sweden,2.16447975,,,,Portugal,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,SI,Slovenia,14.49592785,,,,Romania,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,SK,Slovakia,2.85215724,,,,Russia,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2013,UK,United Kingdom,0,,,,San Marino,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,AT,Austria,0.91009332,,,,Serbia,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,BE,Belgium,0,,,,Slovakia,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,BG,Bulgaria,0,,,,Slovenia,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,CZ,Czech Republic,3.8616304,,,,Spain,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,DE,Germany,0.31064441,,,,Sweden,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,EE,Estonia,6.18693167,,,,Switzerland,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,EL,Greece,0.00953089,,,,Turkey,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,ES,Spain,0,,,,Turkmenistan,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,EU_EEA31,EU/EEA,0.405931,,,,Ukraine,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,EU28,EU,0.40744,,,,United Kingdom,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,FI,Finland,0.81520716,,,,Vatican,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,FR,France,0.01367323,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,HR,Croatia,0.53512674,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,HU,Hungary,0.26432707,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,IT,Italy,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,LT,Lithuania,11.65131967,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,LV,Latvia,7.21086537,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,NO,Norway,0.26629384,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,PL,Poland,0.33584279,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,RO,Romania,0.00558269,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,SE,Sweden,1.84274195,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,SI,Slovenia,4.7800416,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,SK,Slovakia,2.09142808,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2014,UK,United Kingdom,0.00300044,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,AT,Austria,0.89272396,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,BE,Belgium,0.0095345,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,BG,Bulgaria,0.02506149,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,CZ,Czech Republic,3.28421644,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,DE,Germany,0.2583782,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,EE,Estonia,8.68341793,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,EL,Greece,0.0111984,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,EU_EEA31,EU/EEA,0.390986,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,EU28,EU,0.393271,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,FI,Finland,1.2295365,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,FR,France,0.01537296,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,HR,Croatia,0.58809088,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,HU,Hungary,0.21529632,,,,,,,
